Theta[deg.]      Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]     Phase(Theta)[deg.]   Abs(Phi)[dBi]     Phase(Phi)[deg.]      Ax.Ratio[dB]    
  92.000         180.000           -1.160e+00          -3.224e+01             127.125          -1.163e+00             277.852           3.729e+01     
  91.000         180.000           -1.169e+00          -3.195e+01             127.193          -1.173e+00             277.762           3.695e+01     
  90.000         180.000           -1.177e+00          -3.167e+01             127.249          -1.181e+00             277.655           3.662e+01     
  89.000         180.000           -1.184e+00          -3.140e+01             127.293          -1.188e+00             277.529           3.630e+01     
  88.000         180.000           -1.190e+00          -3.114e+01             127.327          -1.194e+00             277.386           3.598e+01     
  87.000         180.000           -1.195e+00          -3.089e+01             127.352          -1.199e+00             277.225           3.568e+01     
  86.000         180.000           -1.198e+00          -3.065e+01             127.369          -1.203e+00             277.046           3.539e+01     
  85.000         180.000           -1.201e+00          -3.042e+01             127.378          -1.206e+00             276.849           3.510e+01     
  84.000         180.000           -1.202e+00          -3.019e+01             127.381          -1.208e+00             276.634           3.482e+01     
  83.000         180.000           -1.203e+00          -2.998e+01             127.377          -1.208e+00             276.403           3.455e+01     
