Theta[deg.]      Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]    Phase(Theta)[deg.]    Abs(Phi)[dBi]     Phase(Phi)[deg.]      Ax.Ratio[dB]    
  88.000         180.000            3.561e-01          -3.159e+01             120.079           3.533e-01             290.925           4.000e+01     
  87.000         180.000            3.525e-01          -3.156e+01             120.989           3.497e-01             290.770           4.000e+01     
  86.000         180.000            3.506e-01          -3.152e+01             121.885           3.478e-01             290.608           4.000e+01     
  85.000         180.000            3.504e-01          -3.148e+01             122.767           3.475e-01             290.440           4.000e+01     
  84.000         180.000            3.518e-01          -3.145e+01             123.635           3.489e-01             290.266           4.000e+01     
  83.000         180.000            3.549e-01          -3.141e+01             124.489           3.520e-01             290.087           4.000e+01     
  82.000         180.000            3.596e-01          -3.138e+01             125.327           3.567e-01             289.901           4.000e+01     
  81.000         180.000            3.660e-01          -3.134e+01             126.150           3.630e-01             289.709           4.000e+01     
  80.000         180.000            3.739e-01          -3.131e+01             126.958           3.710e-01             289.512           4.000e+01     
  79.000         180.000            3.835e-01          -3.128e+01             127.749           3.805e-01             289.309           4.000e+01     
  78.000         180.000            3.946e-01          -3.124e+01             128.524           3.916e-01             289.101           4.000e+01     
  77.000         180.000            4.073e-01          -3.121e+01             129.283           4.043e-01             288.888           4.000e+01     
