Theta[deg.]     Phi[deg.]         Abs(Gain)[dBi]      Abs(Theta)[dBi]    Phase(Theta)[deg.]   Abs(Phi)[dBi]      Phase(Phi)[deg.]     Ax.Ratio[dB]    
 135.000         270.000           -3.514e+00          -3.514e+00             101.103          -4.629e+01             349.456           4.000e+01     
 134.000         270.000           -3.758e+00          -3.758e+00             100.812          -4.618e+01             349.514           4.000e+01     
 133.000         270.000           -4.006e+00          -4.006e+00             100.526          -4.607e+01             349.573           4.000e+01     
 132.000         270.000           -4.258e+00          -4.258e+00             100.245          -4.597e+01             349.632           4.000e+01     
 131.000         270.000           -4.514e+00          -4.514e+00              99.969          -4.588e+01             349.691           4.000e+01     
 130.000         270.000           -4.773e+00          -4.774e+00              99.700          -4.578e+01             349.749           4.000e+01     
 129.000         270.000           -5.037e+00          -5.037e+00              99.439          -4.569e+01             349.806           4.000e+01     
 128.000         270.000           -5.304e+00          -5.305e+00              99.186          -4.561e+01             349.862           4.000e+01     
 127.000         270.000           -5.576e+00          -5.576e+00              98.942          -4.552e+01             349.916           4.000e+01     
 126.000         270.000           -5.851e+00          -5.852e+00              98.708          -4.544e+01             349.969           4.000e+01     
 125.000         270.000           -6.131e+00          -6.131e+00              98.486          -4.537e+01             350.021           3.969e+01     
 124.000         270.000           -6.415e+00          -6.416e+00              98.277          -4.529e+01             350.070           3.932e+01     
 123.000         270.000           -6.703e+00          -6.704e+00              98.081          -4.522e+01             350.117           3.895e+01     
 122.000         270.000           -6.996e+00          -6.997e+00              97.901          -4.515e+01             350.162           3.858e+01     
 121.000         270.000           -7.294e+00          -7.294e+00              97.738          -4.508e+01             350.204           3.820e+01     
 120.000         270.000           -7.596e+00          -7.597e+00              97.593          -4.502e+01             350.244           3.783e+01     
 119.000         270.000           -7.903e+00          -7.904e+00              97.468          -4.496e+01             350.280           3.745e+01     
 118.000         270.000           -8.215e+00          -8.216e+00              97.365          -4.490e+01             350.313           3.707e+01     
 117.000         270.000           -8.533e+00          -8.534e+00              97.287          -4.484e+01             350.343           3.669e+01     
 116.000         270.000           -8.856e+00          -8.857e+00              97.234          -4.479e+01             350.369           3.631e+01     
 115.000         270.000           -9.185e+00          -9.186e+00              97.210          -4.473e+01             350.392           3.593e+01     
 114.000         270.000           -9.520e+00          -9.521e+00              97.218          -4.468e+01             350.410           3.554e+01     
 113.000         270.000           -9.861e+00          -9.863e+00              97.260          -4.463e+01             350.424           3.515e+01     
 112.000         270.000           -1.021e+01          -1.021e+01              97.339          -4.459e+01             350.434           3.476e+01     
 111.000         270.000           -1.056e+01          -1.057e+01              97.460          -4.454e+01             350.440           3.436e+01     
 110.000         270.000           -1.093e+01          -1.093e+01              97.626          -4.450e+01             350.440           3.397e+01     
 109.000         270.000           -1.130e+01          -1.130e+01              97.841          -4.446e+01             350.437           3.356e+01     
 108.000         270.000           -1.168e+01          -1.168e+01              98.110          -4.442e+01             350.428           3.316e+01     
 107.000         270.000           -1.207e+01          -1.207e+01              98.440          -4.438e+01             350.414           3.275e+01     
 106.000         270.000           -1.246e+01          -1.247e+01              98.835          -4.434e+01             350.395           3.233e+01     
 105.000         270.000           -1.287e+01          -1.288e+01              99.305          -4.431e+01             350.370           3.191e+01     
 104.000         270.000           -1.329e+01          -1.330e+01              99.856          -4.427e+01             350.341           3.149e+01     
 103.000         270.000           -1.373e+01          -1.373e+01             100.499          -4.424e+01             350.305           3.106e+01     
 102.000         270.000           -1.417e+01          -1.417e+01             101.244          -4.421e+01             350.265           3.063e+01     
 101.000         270.000           -1.463e+01          -1.463e+01             102.104          -4.418e+01             350.218           3.020e+01     
 100.000         270.000           -1.510e+01          -1.511e+01             103.095          -4.415e+01             350.166           2.976e+01     
  99.000         270.000           -1.559e+01          -1.559e+01             104.235          -4.413e+01             350.108           2.933e+01     
  98.000         270.000           -1.609e+01          -1.610e+01             105.543          -4.410e+01             350.045           2.889e+01     
  97.000         270.000           -1.661e+01          -1.662e+01             107.047          -4.408e+01             349.976           2.847e+01     
  96.000         270.000           -1.715e+01          -1.716e+01             108.774          -4.405e+01             349.900           2.805e+01     
  95.000         270.000           -1.770e+01          -1.771e+01             110.762          -4.403e+01             349.819           2.766e+01     
  94.000         270.000           -1.827e+01          -1.829e+01             113.052          -4.401e+01             349.733           2.729e+01     
  93.000         270.000           -1.886e+01          -1.887e+01             115.694          -4.399e+01             349.640           2.697e+01     
  92.000         270.000           -1.946e+01          -1.947e+01             118.746          -4.397e+01             349.542           2.673e+01     
  91.000         270.000           -2.006e+01          -2.008e+01             122.274          -4.395e+01             349.438           2.659e+01     
  90.000         270.000           -2.066e+01          -2.068e+01             126.349          -4.394e+01             349.328           2.661e+01     
  89.000         270.000           -2.125e+01          -2.127e+01             131.042          -4.392e+01             349.213           2.686e+01     
  88.000         270.000           -2.179e+01          -2.182e+01             136.412          -4.391e+01             349.092           2.748e+01     
  87.000         270.000           -2.228e+01          -2.231e+01             142.488          -4.389e+01             348.966           2.865e+01     
  86.000         270.000           -2.268e+01          -2.272e+01             149.246          -4.388e+01             348.834           3.072e+01     
  85.000         270.000           -2.296e+01          -2.300e+01             156.583          -4.387e+01             348.697           3.450e+01     
  84.000         270.000           -2.310e+01          -2.313e+01             164.310          -4.386e+01             348.555           4.000e+01     
  83.000         270.000           -2.307e+01          -2.311e+01             172.167          -4.385e+01             348.409           4.000e+01     
